"kingdom" "supergroup" "division" "class" "order" "family" "genus" "species"
"asv_023_00113" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Balechina" "Balechina_pachydermata"
"asv_023_00114" "Eukaryota" "Stramenopiles" "Ochrophyta" "Dictyochophyceae" "Dictyochophyceae_X" "Florenciellales" "Florenciellales_X" "Florenciellales_X_sp."
"asv_023_00115" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Maxillopoda_X" "Maxillopoda_X_sp."
"asv_023_00116" "Eukaryota" "Alveolata" "Dinoflagellata" "Syndiniales" "Dino-Group-III" "Dino-Group-III_X" "Dino-Group-III_XX" "Dino-Group-III_XX_sp."
"asv_023_00117" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gymnodinium" "Gymnodinium_sp."
"asv_023_00118" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_I" "Strobilidiidae_I_X" "Strobilidiidae_I_X_sp."
"asv_023_00119" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" "Tontoniidae_A" "Laboea" "Laboea_strobila"
"asv_023_00120" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Dinophysiales" "Dinophysiaceae" "Ornithocercus" "Ornithocercus_heteroporus"
"asv_023_00121" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Prorocentrales" "Prorocentraceae" "Prorocentrum" "Prorocentrum_sp."
"asv_023_00122" "Eukaryota" "Opisthokonta" "Metazoa" "Cnidaria" "Cnidaria_X" "Hydrozoa" "Hydrozoa_X" "Hydrozoa_X_sp."
"asv_023_00123" "Eukaryota" "Hacrobia" "Picozoa" "Picozoa_X" "Picozoa_XX" "Picozoa_XXX" "Picozoa_XXXX" "Picozoa_XXXX_sp."
"asv_023_00124" "Eukaryota" "Hacrobia" "Picozoa" "Picozoa_X" "Picozoa_XX" "Picozoa_XXX" "Picozoa_XXXX" "Picozoa_XXXX_sp."
